provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
kraken_rest_ohlc,BTC/USDT,1d,2026-06-18,1,0,0,1,0,0.0,,,0.289,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1m,2016-06-18,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.3,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1h,2016-06-18,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.322,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1d,2016-06-18,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.303,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1m,2020-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.302,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1h,2020-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.29,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1d,2020-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.288,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1m,2024-01-01,1440,721,721,1440,721,0.0,2026-06-19T11:15:00+00:00,2026-06-19T23:15:00+00:00,0.315,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1h,2024-01-01,24,721,721,24,721,0.0,2026-05-20T23:00:00+00:00,2026-06-19T23:00:00+00:00,0.29,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1d,2024-01-01,1,721,721,1,721,0.0,2024-06-29T00:00:00+00:00,2026-06-19T00:00:00+00:00,0.319,1,ok,REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1m,2026-06-18,1440,0,0,1440,0,0.0,,,0.295,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1h,2026-06-18,24,0,0,24,0,0.0,,,0.306,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
kraken_rest_ohlc,BTC/EUR,1d,2026-06-18,1,0,0,1,0,0.0,,,0.315,1,errors=['EGeneral:Too many requests'],REST OHLC is recent-tail limited; not valid for old history if returned times do not overlap request
gemini_public_candles,BTC/USD,1m,endpoint_tail_no_start_end,,1440,1440,,,,2026-06-18T23:16:00+00:00,2026-06-19T23:15:00+00:00,0.474,1,ok,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/USD,1h,endpoint_tail_no_start_end,,0,0,,,,,,0.289,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
gemini_public_candles,BTC/USD,1d,endpoint_tail_no_start_end,,0,0,,,,,,0.29,1,<HTTPError 400: 'Bad Request'>,Public endpoint tested has no start/end params; not enough for arbitrary 2016 backtests
